Country_x(from country maps),ISO3(from country maps),Country_y(from rainfall dataset),,
Afghanistan,AFG,Afghanistan,,
Angola,AGO,Angola,,
Albania,ALB,Albania,,
United Arab Emirates,ARE,United Arab Emirates,,
Argentina,ARG,Argentina,,
Armenia,ARM,Armenia,,
Antarctica,ATA,,,
French Southern and Antarctic Lands,ATF,,,
Australia,AUS,Australia,,
Austria,AUT,Austria,,
Azerbaijan,AZE,Azerbaijan,,
Burundi,BDI,Burundi,,
Belgium,BEL,Belgium,,
Benin,BEN,Benin,,
Burkina Faso,BFA,Burkina Faso,,
Bangladesh,BGD,Bangladesh,,
Bulgaria,BGR,Bulgaria,,
The Bahamas,BHS,Bahamas,,
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,,
Belarus,BLR,Belarus,,
Belize,BLZ,Belize,,
Bolivia,BOL,Bolivia,,
Brazil,BRA,Brazil,,
Brunei,BRN,Brunei,,
Bhutan,BTN,Bhutan,,
Botswana,BWA,Botswana,,
Central African Republic,CAF,Central African Republic,,
Canada,CAN,Canada,,
Switzerland,CHE,Switzerland,,
Chile,CHL,Chile,,
China,CHN,China,,
Ivory Coast,CIV,Cote d'Ivoire,,
Cameroon,CMR,Cameroon,,
Democratic Republic of the Congo,COD,Congo (Democratic Republic of the),,
Republic of the Congo,COG,Congo (Republic of the),,
Colombia,COL,Colombia,,
Costa Rica,CRI,Costa Rica,,
Cuba,CUB,Cuba,,
Northern Cyprus,-99,,,
Cyprus,CYP,Cyprus,,
Czech Republic,CZE,Czech Republic,,
Germany,DEU,Germany,,
Djibouti,DJI,Djibouti,,
Denmark,DNK,Denmark,,
Dominican Republic,DOM,Dominican Republic,,
Algeria,DZA,Algeria,,
Ecuador,ECU,Ecuador,,
Egypt,EGY,Egypt,,
Eritrea,ERI,Eritrea,,
Spain,ESP,Spain,,
Estonia,EST,Estonia,,
Ethiopia,ETH,Ethiopia,,
Finland,FIN,Finland,,
Fiji,FJI,Fiji,,
Falkland Islands,FLK,,,
France,FRA,France,,
Gabon,GAB,Gabon,,
England,GBR,United Kingdom,,
Georgia,GEO,Georgia,,
Ghana,GHA,Ghana,,
Guinea,GIN,Guinea,,
Gambia,GMB,,,ISO3 is 'The' in rainfall datset
Guinea Bissau,GNB,Guinea-Bissau,,
Equatorial Guinea,GNQ,Equatorial Guinea,,
Greece,GRC,Greece,,
Greenland,GRL,Greenland,,
Guatemala,GTM,Guatemala,,
Guyana,GUY,Guyana,,
Honduras,HND,Honduras,,
Croatia,HRV,Croatia,,
Haiti,HTI,Haiti,,
Hungary,HUN,Hungary,,
Indonesia,IDN,Indonesia,,
India,IND,India,,
Ireland,IRL,Ireland,,
Iran,IRN,Iran,,
Iraq,IRQ,Iraq,,
Iceland,ISL,Iceland,,
Israel,ISR,Israel,,
Italy,ITA,Italy,,
Jamaica,JAM,Jamaica,,
Jordan,JOR,Jordan,,
Japan,JPN,Japan,,
Kazakhstan,KAZ,Kazakhstan,,
Kenya,KEN,Kenya,,
Kyrgyzstan,KGZ,Kyrgyzstan,,
Cambodia,KHM,Cambodia,,
South Korea,KOR,,,ISO3 is 'republic of' and 'Democratic People's Republic of'
Kosovo,-99,,,
Kuwait,KWT,Kuwait,,
Laos,LAO,Laos,,
Lebanon,LBN,Lebanon,,
Liberia,LBR,Liberia,,
Libya,LBY,Libya,,
Sri Lanka,LKA,Sri Lanka,,
Lesotho,LSO,Lesotho,,
Lithuania,LTU,Lithuania,,
Luxembourg,LUX,Luxembourg,,
Latvia,LVA,Latvia,,
Morocco,MAR,Morocco,,
Moldova,MDA,Moldova,,
Madagascar,MDG,Madagascar,,
Mexico,MEX,Mexico,,
Macedonia,MKD,Macedonia,,
Mali,MLI,Mali,,
Myanmar,MMR,Myanmar (Burma),,
Montenegro,MNE,Republic of Montenegro,,
Mongolia,MNG,Mongolia,,
Mozambique,MOZ,Mozambique,,
Mauritania,MRT,Mauritania,,
Malawi,MWI,Malawi,,
Malaysia,MYS,Malaysia,,
Namibia,NAM,Namibia,,
New Caledonia,NCL,New Caledonia,,
Niger,NER,Niger,,
Nigeria,NGA,Nigeria,,
Nicaragua,NIC,Nicaragua,,
Netherlands,NLD,Netherlands,,
Norway,NOR,Norway,,
Nepal,NPL,Nepal,,
New Zealand,NZL,New Zealand,,
Oman,OMN,Oman,,
Pakistan,PAK,Pakistan,,
Panama,PAN,Panama,,
Peru,PER,Peru,,
Philippines,PHL,Philippines,,
Papua New Guinea,PNG,Papua New Guinea,,
Poland,POL,Poland,,
Puerto Rico,PRI,Puerto Rico,,
North Korea,PRK,,,ISO3 is 'republic of' and 'Democratic People's Republic of'
Portugal,PRT,Portugal,,
Paraguay,PRY,Paraguay,,
Qatar,QAT,Qatar,,
Romania,ROU,Romania,,
Russia,RUS,Russia,,
Rwanda,RWA,Rwanda,,
Western Sahara,-99,,,
Saudi Arabia,SAU,Saudi Arabia,,
Sudan,SDN,Sudan,,
South Sudan,SDS,,,ISO3 is SSD
Senegal,SEN,Senegal,,
Solomon Islands,SLB,Solomon Islands,,
Sierra Leone,SLE,Sierra Leone,,
El Salvador,SLV,El Salvador,,
Somaliland,-99,,,
Somalia,SOM,Somalia,,
Republic of Serbia,SRB,Republic of Serbia,,
Suriname,SUR,Suriname,,
Slovakia,SVK,Slovakia,,
Slovenia,SVN,Slovenia,,
Sweden,SWE,Sweden,,
Swaziland,SWZ,Swaziland,,
Syria,SYR,Syria,,
Chad,TCD,Chad,,
Togo,TGO,Togo,,
Thailand,THA,Thailand,,
Tajikistan,TJK,Tajikistan,,
Turkmenistan,TKM,Turkmenistan,,
East Timor,TLS,Timor Leste,,
Trinidad and Tobago,TTO,Trinidad and Tobago,,
Tunisia,TUN,Tunisia,,
Turkey,TUR,Turkey,,
Taiwan,TWN,,,
United Republic of Tanzania,TZA,Tanzania,,
Uganda,UGA,Uganda,,
Ukraine,UKR,Ukraine,,
Uruguay,URY,Uruguay,,
USA,USA,United States,,
Uzbekistan,UZB,Uzbekistan,,
Venezuela,VEN,Venezuela,,
Vietnam,VNM,Vietnam,,
Vanuatu,VUT,Vanuatu,,
West Bank,PSE,,,
Yemen,YEM,Yemen,,
South Africa,ZAF,South Africa,,
Zambia,ZMB,Zambia,,
Zimbabwe,ZWE,Zimbabwe,,
